X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
67.709953,33.93911,1,,Afghanistan,2020/09/05 09:28:32+00,33.93911,67.709953,38324,30082,1409,6833,,,Afghanistan
20.1683,41.1533,2,,Albania,2020/09/05 09:28:32+00,41.1533,20.1683,9967,5882,306,3779,,,Albania
1.6596,28.0339,3,,Algeria,2020/09/05 09:28:32+00,28.0339,1.6596,45773,32259,1539,11975,,,Algeria
1.5218,42.5063,4,,Andorra,2020/09/05 09:28:32+00,42.5063,1.5218,1215,928,53,234,,,Andorra
17.8739,-11.2027,5,,Angola,2020/09/05 09:28:32+00,-11.2027,17.8739,2876,1167,115,1594,,,Angola
-61.7964,17.0608,6,,Antigua and Barbuda,2020/09/05 09:28:32+00,17.0608,-61.7964,95,91,3,1,,,Antigua and Barbuda
-63.6167,-38.4161,7,,Argentina,2020/09/05 09:28:32+00,-38.4161,-63.6167,461882,331621,9623,120638,,,Argentina
45.0382,40.0691,8,,Armenia,2020/09/05 09:28:32+00,40.0691,45.0382,44649,39823,895,3931,,,Armenia
149.0124,-35.4735,9,Australian Capital Territory,Australia,2020/09/05 09:28:32+00,-35.4735,149.0124,113,110,3,0,,,"Australian Capital Territory, Australia"
151.2093,-33.8688,10,New South Wales,Australia,2020/09/05 09:28:32+00,-33.8688,151.2093,4104,2994,52,1058,,,"New South Wales, Australia"
130.8456,-12.4634,11,Northern Territory,Australia,2020/09/05 09:28:32+00,-12.4634,130.8456,33,31,0,2,,,"Northern Territory, Australia"
153.0251,-27.4698,12,Queensland,Australia,2020/09/05 09:28:32+00,-27.4698,153.0251,1129,1089,6,34,,,"Queensland, Australia"
138.6007,-34.9285,13,South Australia,Australia,2020/09/05 09:28:32+00,-34.9285,138.6007,464,459,4,1,,,"South Australia, Australia"
147.3272,-42.8821,14,Tasmania,Australia,2020/09/05 09:28:32+00,-42.8821,147.3272,231,218,13,0,,,"Tasmania, Australia"
144.9631,-37.8136,15,Victoria,Australia,2020/09/05 09:28:32+00,-37.8136,144.9631,19479,16784,661,2034,,,"Victoria, Australia"
115.8605,-31.9505,16,Western Australia,Australia,2020/09/05 09:28:32+00,-31.9505,115.8605,655,644,9,2,,,"Western Australia, Australia"
14.5501,47.5162,17,,Austria,2020/09/05 09:28:32+00,47.5162,14.5501,29087,24828,735,3524,,,Austria
47.5769,40.1431,18,,Azerbaijan,2020/09/05 09:28:32+00,40.1431,47.5769,37031,34419,543,2069,,,Azerbaijan
-78.035889,25.025885,19,,Bahamas,2020/09/05 09:28:32+00,25.025885,-78.035889,2386,893,50,1443,,,Bahamas
50.55,26.0275,20,,Bahrain,2020/09/05 09:28:32+00,26.0275,50.55,54095,50323,195,3577,,,Bahrain
90.3563,23.685,21,,Bangladesh,2020/09/05 09:28:32+00,23.685,90.3563,321615,216191,4412,101012,,,Bangladesh
-59.5432,13.1939,22,,Barbados,2020/09/05 09:28:32+00,13.1939,-59.5432,178,153,7,18,,,Barbados
27.9534,53.7098,23,,Belarus,2020/09/05 09:28:32+00,53.7098,27.9534,72485,71510,701,274,,,Belarus
4.469936,50.8333,24,,Belgium,2020/09/05 09:28:32+00,50.8333,4.469936,87174,18534,9901,58739,,,Belgium
-88.4976,17.1899,25,,Belize,2020/09/05 09:28:32+00,17.1899,-88.4976,1152,271,15,866,,,Belize
2.3158,9.3077,26,,Benin,2020/09/05 09:28:32+00,9.3077,2.3158,2194,1738,40,416,,,Benin
90.4336,27.5142,27,,Bhutan,2020/09/05 09:28:32+00,27.5142,90.4336,228,150,0,78,,,Bhutan
-63.5887,-16.2902,28,,Bolivia,2020/09/05 09:28:32+00,-16.2902,-63.5887,119580,67844,5343,46393,,,Bolivia
17.6791,43.9159,29,,Bosnia and Herzegovina,2020/09/05 09:28:32+00,43.9159,17.6791,21142,14476,639,6027,,,Bosnia and Herzegovina
24.6849,-22.3285,30,,Botswana,2020/09/05 09:28:32+00,-22.3285,24.6849,2002,493,8,1501,,,Botswana
-70.812,-9.0238,31,Acre,Brazil,2020/09/05 09:28:32+00,-9.0238,-70.812,25249,19695,623,4931,,,"Acre, Brazil"
-36.782,-9.5713,32,Alagoas,Brazil,2020/09/05 09:28:32+00,-9.5713,-36.782,80103,75498,1917,2688,,,"Alagoas, Brazil"
-52.003,0.902,33,Amapa,Brazil,2020/09/05 09:28:32+00,0.902,-52.003,44454,32404,670,11380,,,"Amapa, Brazil"
-65.8561,-3.4168,34,Amazonas,Brazil,2020/09/05 09:28:32+00,-3.4168,-65.8561,123187,104526,3841,14820,,,"Amazonas, Brazil"
-41.7007,-12.5797,35,Bahia,Brazil,2020/09/05 09:28:32+00,-12.5797,-41.7007,268137,250309,5590,12238,,,"Bahia, Brazil"
-39.3206,-5.4984,36,Ceara,Brazil,2020/09/05 09:28:32+00,-5.4984,-39.3206,230105,194827,8555,26723,,,"Ceara, Brazil"
-47.8645,-15.7998,37,Distrito Federal,Brazil,2020/09/05 09:28:32+00,-15.7998,-47.8645,167200,152017,2681,12502,,,"Distrito Federal, Brazil"
-40.3089,-19.1834,38,Espirito Santo,Brazil,2020/09/05 09:28:32+00,-19.1834,-40.3089,114700,103782,3235,7683,,,"Espirito Santo, Brazil"
-49.8362,-15.827,39,Goias,Brazil,2020/09/05 09:28:32+00,-15.827,-49.8362,145250,135825,3400,6025,,,"Goias, Brazil"
-45.2744,-4.9609,40,Maranhao,Brazil,2020/09/05 09:28:32+00,-4.9609,-45.2744,157052,145305,3488,8259,,,"Maranhao, Brazil"
-56.9211,-12.6819,41,Mato Grosso,Brazil,2020/09/05 09:28:32+00,-12.6819,-56.9211,96980,78192,2873,15915,,,"Mato Grosso, Brazil"
-54.7852,-20.7722,42,Mato Grosso do Sul,Brazil,2020/09/05 09:28:32+00,-20.7722,-54.7852,52406,42865,939,8602,,,"Mato Grosso do Sul, Brazil"
-44.555,-18.5122,43,Minas Gerais,Brazil,2020/09/05 09:28:32+00,-18.5122,-44.555,228013,192246,5708,30059,,,"Minas Gerais, Brazil"
-54.9306,-1.9981,44,Para,Brazil,2020/09/05 09:28:32+00,-1.9981,-54.9306,205291,190437,6228,8626,,,"Para, Brazil"
-36.782,-7.24,45,Paraiba,Brazil,2020/09/05 09:28:32+00,-7.24,-36.782,108925,80327,2517,26081,,,"Paraiba, Brazil"
-52.0215,-25.2521,46,Parana,Brazil,2020/09/05 09:28:32+00,-25.2521,-52.0215,139780,95386,3505,40889,,,"Parana, Brazil"
-36.9541,-8.8137,47,Pernambuco,Brazil,2020/09/05 09:28:32+00,-8.8137,-36.9541,130199,113496,7619,9084,,,"Pernambuco, Brazil"
-42.7289,-7.7183,48,Piaui,Brazil,2020/09/05 09:28:32+00,-7.7183,-42.7289,80750,79159,1868,-277,,,"Piaui, Brazil"
-36.9541,-5.4026,49,Rio Grande do Norte,Brazil,2020/09/05 09:28:32+00,-5.4026,-36.9541,63289,37767,2281,23241,,,"Rio Grande do Norte, Brazil"
-51.2177,-30.0346,50,Rio Grande do Sul,Brazil,2020/09/05 09:28:32+00,-30.0346,-51.2177,137217,122709,3650,10858,,,"Rio Grande do Sul, Brazil"
